come,訪れる/来る
get,受け取る/手に入れる
give,あたえる
go,行く
keep,保つ/保存する
let,させる/許す
make,作る
put,置く
seem,見える/思える
take,取る/つかむ
be,ある/存在する
do,する/振るまう
have,持っている/身につけている
say,言う/話す/命ずる
see,見る/見える/知っている
send,送る
may,してもいい/かもしれない
will,するつもりだ/しようと思う
about,＊＊＊について/ざっと
across,横切った/横に
after,＊＊＊の後に/後で
against,反抗して/逆らって
among,＊＊＊の間に/＊＊＊の中で
at,＊＊＊に/＊＊＊において
before,先に/前に
between,中間に/間に
by,＊＊＊のそばで/＊＊＊によって
down,下に/下へ
from,＊＊＊から
in,中に/内側に
into,(入った)中に
off,＊＊＊から離れて
on,うえに
over,上の方に
through,から
to,＊＊＊へ
under,＊＊＊の下に
up,上方へ/上向きに
with,いっしょに/ともに
as,同じように
for,＊＊＊のために
of,＊＊＊の/＊＊＊に属する
till,＊＊＊まで
than,＊＊＊よりも
all,すべて
any,なんらか/いくらか/少しは
every,あらゆる
no,いいえ/なにも
other,ほかの
some,いくつかの
such,こんな/これほど/しばしば
and,＊＊＊と
because,なぜなら
but,しかし
or,または
if,もしも
though,だが/そうはいうものの
while,期間/時間
how,方法
when,時期
where,場所
why,理由
again,さらに/またまた
ever,つねに/いつも
far,はるかに/遠くへ
forward,前に/前方へ/お先に
here,ここに
near,ほぼ/ほとんど
now,今/今では
out,外に
still,静かな/静止した
then,それから/続いて/その次に
there,そこに/あそこで
together,同時に/ともに
well,よく
almost,ほぼ/ほとんど
enough,十分/たくさん
even,均等な/同じの
little,わずか
much,ほぼ
only,ただひとり/ただひとつ
quite,すっかり/全く
so,現に/それは
very,とても/いとも/いっそう
tomorrow,あす/あした
yesterday,昨日
north,北
south,南
east,東
west,西
please,喜ばせる/楽します
yes,肯定的な返答
account,説明
act,行動する/立ち振る舞う
according to,＊＊＊によれば
addition,付け足し
adjustment,手直し/修正/変更
advertisement,アド/広告
agreement,協定/一致
air,空気/飛行
amount,量/計測した大きさ
amusement,楽しみ/エンターテインメント
animal,動物
answer,答える/解答
approval,賛成/承認
argument,議論/主張
art,芸術/工芸
attack,攻める/取り掛かる
attempt,試みる/企てる
attention,注意/世話
attraction,魅力/引力
authority,権威/認可
back,以前に/昔に
balance,バランスをとる/つりあいを取る
base,基礎づける/基づく
behaviour,行儀/行ない/振る舞い
belief,印象/感じ/気分
birth,生みだす/産む
bit,かけら
bite,かみつく
blood,血液/気質
blow,吹く/噴く
body,本体/身体
breath,呼吸/息
brother,兄/弟/兄弟
building,建設/構築
burn,燃す/焦がす
burst,爆発/破裂
business,シゴト/事業
care,整備/メンテナンス/世話
cause,原因/根拠
chance,賭け/チャンス/機会
change,変質/変化
cloth,生地/布地
color,色合い/個性
